english	translation	category	sub_category	source
A Porcine of Interest quest	有趣的猪	skillguide	860	ai_osrs-translator-v3.1_20260710
Achievement Diary - Desert	成就日志 - 沙漠	skillguide	860	ai_osrs-translator-v2_20260710
Achievement Diary - Falador	成就日志 - 法拉多城	skillguide	860	ai_osrs-translator-v2_20260710
Achievement Diary - Fremennik	成就日志 - 费明尼克	skillguide	860	ai_osrs-translator-v2_20260710
Achievement Diary - Kandarin	成就日志 - 坎达林王国	skillguide	860	ai_osrs-translator-v2_20260710
Achievement Diary - Karamja	成就日志 - 卡拉姆詹岛	skillguide	860	ai_osrs-translator-v2_20260710
Achievement Diary - Morytania	成就日志 - 莫利塔尼亚	skillguide	860	ai_osrs-translator-v2_20260710
Achievement Diary - Varrock	成就日志 - 维洛克城	skillguide	860	ai_osrs-translator-v2_20260710
Achievement Diary - Western Provinces	成就日志 - 西部省份	skillguide	860	ai_osrs-translator-v2_20260710
Achievement Diary - Wilderness	成就日志 - 野蛮人聚落	skillguide	860	ai_osrs-translator-v2_20260710
Add player to Ignore list	将玩家加入忽略列表	skillguide	860	cachedump_20260710
Agility - Areas (Members Only)	敏捷 - 区域（仅限会员）	skillguide	860	ai_osrs-translator-v3.1_20260710
Agility - Barbarian (Members Only)	敏捷 - 野蛮人 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Agility - Courses (Members Only)	敏捷 - 训练场 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Agility - Other (Members Only)	敏捷 - 其他（仅限会员）	skillguide	860	ai_osrs-translator-v3.1_20260710
Agility - Overview (Members Only)	敏捷 - 概览 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Agility - Shortcuts (Members Only)	敏捷 - 快捷方式 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Attack - Armour (Members Only)	攻击 - 装甲（仅限会员）	skillguide	860	ai_osrs-translator-v3.1_20260710
Attack - Weapons	攻击 - 武器	skillguide	860	ai_osrs-translator-v3.1_20260710
Captain's Log - Port Tasks	船长日志 - 港口任务	skillguide	860	cachedump_20260710
Captain's Log - Sea Charting	船长日志 - 海域测绘	skillguide	860	cachedump_20260710
Clan Wars - Free	氏族战争 - 免费	skillguide	860	cachedump_20260710
Close storage tab	关闭存储标签页	skillguide	860	cachedump_20260710
Combat Achievements - Boss	战斗成就 - Boss	skillguide	860	cachedump_20260710
Combat Options panel	战斗选项面板	skillguide	860	ai_osrs-translator-v3.1_20260710
Construction - Boats (Members Only)	建筑 - 船只 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Construction - Chapel (Members Only)	建筑 - 神殿 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Construction - Decorative (Members Only)	建筑 - 装饰 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Construction - Dungeon (Members Only)	建筑 - 地牢 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Construction - Games (Members Only)	建筑 - 比赛（仅限会员）	skillguide	860	ai_osrs-translator-v3.1_20260710
Construction - Garden (Members Only)	建筑 - 花园（仅限会员）	skillguide	860	ai_osrs-translator-v3.1_20260710
Construction - House Size (Members Only)	建筑 - 房屋大小（仅限会员）	skillguide	860	ai_osrs-translator-v3.1_20260710
Construction - Other (Members Only)	建筑 - 其他（仅限会员）	skillguide	860	ai_osrs-translator-v3.1_20260710
Construction - Overview (Members Only)	建筑 - 概览 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Construction - Rooms (Members Only)	建筑 - 房间 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Construction - Servants (Members Only)	建筑 - 仆从 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Construction - Skills (Members Only)	建筑 - 技能 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Construction - Storage (Members Only)	建筑 - 储藏单元 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Construction - Surfaces (Members Only)	建筑 - 表面（仅限会员）	skillguide	860	ai_osrs-translator-v3.1_20260710
Construction - Trophies (Members Only)	建筑 - 奖杯 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Cook's Assistant quest	厨师助手任务	skillguide	860	ai_osrs-translator-v3.1_20260710
Cooking - Bread	烹饪 - 面包	skillguide	860	ai_osrs-translator-v3.1_20260710
Cooking - Brewing (Members Only)	烹饪 - 酿造术 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Cooking - Cakes	烹饪 - 蛋糕	skillguide	860	ai_osrs-translator-v3.1_20260710
Cooking - Dairy (Members Only)	烹饪 - 乳制品 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Cooking - Gnome (Members Only)	烹饪 - 地精 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Cooking - Hot Drinks (Members Only)	烹饪 - 热饮 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Cooking - Meats	烹饪 - 肉类	skillguide	860	ai_osrs-translator-v3.1_20260710
Cooking - Other	烹饪 - 其他	skillguide	860	ai_osrs-translator-v3.1_20260710
Cooking - Overview	烹饪 - 概览	skillguide	860	ai_osrs-translator-v3.1_20260710
Cooking - Pies	烹饪 - 派	skillguide	860	ai_osrs-translator-v3.1_20260710
Cooking - Pizzas	烹饪 - 披萨	skillguide	860	ai_osrs-translator-v3.1_20260710
Cooking - Stews	烹饪 - 炖菜	skillguide	860	ai_osrs-translator-v3.1_20260710
Cooking - Vegetable (Members Only)	烹饪 - 蔬菜 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Cooking - Wine	烹饪 - 葡萄酒	skillguide	860	ai_osrs-translator-v3.1_20260710
Courses tab	课程标签页	skillguide	860	ai_osrs-translator-v3.1_20260710
Crafting - Armour	制作 - 装甲	skillguide	860	ai_osrs-translator-v3.1_20260710
Crafting - Crystal (Members Only)	制作 - 水晶（仅限会员）	skillguide	860	ai_osrs-translator-v3.1_20260710
Crafting - Glass (Members Only)	制作 - 玻璃 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Crafting - Jewellery	制作 - 珠宝	skillguide	860	ai_osrs-translator-v3.1_20260710
Crafting - Other (Members Only)	制作 - 其他（仅限会员）	skillguide	860	ai_osrs-translator-v3.1_20260710
Crafting - Overview	制作 - 概览	skillguide	860	ai_osrs-translator-v3.1_20260710
Crafting - Pottery	制作 - 陶器	skillguide	860	ai_osrs-translator-v3.1_20260710
Crafting - Spinning	制作 - 旋转	skillguide	860	ai_osrs-translator-v3.1_20260710
Crafting - Weaponry (Members Only)	制作 - 武器（仅限会员）	skillguide	860	ai_osrs-translator-v3.1_20260710
Crafting - Weaving (Members Only)	制作 - 编织（仅限会员）	skillguide	860	ai_osrs-translator-v3.1_20260710
Crafting skill	制作技能	skillguide	860	ai_osrs-translator-v3.1_20260710
Crossbows tab	弩标签页	skillguide	860	ai_osrs-translator-v3.1_20260710
Current Affairs quest	时事动态任务	skillguide	860	ai_osrs-translator-v3.1_20260710
Daddy's Home miniquest	爸爸的家迷你任务	skillguide	860	ai_osrs-translator-v3.1_20260710
Defence - Armour	防御 - 装甲	skillguide	860	ai_osrs-translator-v3.1_20260710
Defence - Other (Members Only)	防御 - 其他（仅限会员）	skillguide	860	ai_osrs-translator-v3.1_20260710
Defence - Overview	防御 - 概览	skillguide	860	ai_osrs-translator-v3.1_20260710
Defence - Penance (Members Only)	防御 - 罪人 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Defence - Prayers (Members Only)	防御 - 祈祷 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Defence - Shields (Members Only)	防御 - 盾牌 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Druidic Ritual quest	德鲁伊仪式任务	skillguide	860	ai_osrs-translator-v3.1_20260710
Dungeon - Junction	地牢 - 分岔口	skillguide	860	cachedump_20260710
Farming - Allotments (Members Only)	农业 - 菜地（仅限会员）	skillguide	860	ai_osrs-translator-v3.1_20260710
Farming - Bushes (Members Only)	农业 - 灌木 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Farming - Flowers (Members Only)	农业 - 花卉 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Farming - Fruit Trees (Members Only)	农业 - 果树 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Farming - Herbs (Members Only)	农业 - 草药 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Farming - Hops (Members Only)	农业 - 霍普斯 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Farming - Multiple roots (Members Only)	农业 - 多个根 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Farming - Other (Members Only)	农业 - 其他（仅限会员）	skillguide	860	ai_osrs-translator-v3.1_20260710
Farming - Overview (Members Only)	农业 - 概览 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Farming - Raids (Members Only)	农业 - 速通副本 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Farming - Scarecrows (Members Only)	农业 - 麻雀草人 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Farming - Special (Members Only)	农业 - 特殊(仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Farming - Tithe Farm (Members Only)	农业 - 什一税农场（仅限会员）	skillguide	860	ai_osrs-translator-v3.1_20260710
Farming - Trees (Members Only)	农业 - 树木 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Farming skill	农业技能	skillguide	860	ai_osrs-translator-v3.1_20260710
Firemaking - Barbarian (Members Only)	生火 - 野蛮人（仅限会员）	skillguide	860	ai_osrs-translator-v3.1_20260710
Firemaking - Burning	生火 - 燃烧	skillguide	860	ai_osrs-translator-v3.1_20260710
Firemaking - Equipment (Members Only)	生火 - 器具 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Firemaking - Other (Members Only)	生火 - 其他（仅限会员）	skillguide	860	ai_osrs-translator-v3.1_20260710
Firemaking - Overview	生火 - 概览	skillguide	860	ai_osrs-translator-v3.1_20260710
Firemaking skill	生火技能	skillguide	860	ai_osrs-translator-v3.1_20260710
Fishing - Aerial (Members Only)	钓鱼 - 猛禽式 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Fishing - Barbarian (Members Only)	钓鱼 - 野蛮人（仅限会员）	skillguide	860	ai_osrs-translator-v3.1_20260710
Fishing - Big Net (Members Only)	钓鱼 - 大网 (仅限会员)	skillguide	860	ai_osrs-translator-v3.1_20260710
Fishing - Cage	钓鱼 - 笼子	skillguide	860	ai_osrs-translator-v3.1_20260710
Fishing - Deep Sea Trawling (Members Only)	钓鱼 - 深海拖网（仅限会员）	skillguide	860	ai_osrs-translator-v3.1_20260710
Fishing - Equipment	钓鱼 - 装备	skillguide	860	ai_osrs-translator-v3.1_20260710
Fishing - Harpoon	钓鱼 - 鱼叉	skillguide	860	ai_osrs-translator-v3.1_20260710
